ontology,ontology_code,ontology_comment,secondary_ontology,secondary_ontology_code,secondary_ontology_comment,snomed_vartype,ES LAFE,IL HMC,dataset,name,description,vartype,ETL_type,details,example,JSON_values,Doubts_Ana
snomed ct,272398008,,,,,,1,1,Genetic_Table.xlsx,Inheritance pattern,Inheritance pattern,STR,category?," (AR, AD, XL)",AR,"[{""value"": ""AR"", ""explanation"": ""Autosomal recessive inheritance"", ""snomed_ct"": ""258211005""}, {""value"": ""AD"", ""explanation"": ""Autosomal dominant inheritance"", ""snomed_ct"": ""263681008""}, {""value"": ""XL"", ""explanation"": ""X-linked inheritance"", ""snomed_ct"": ""263934009""}]",
snomed ct,55446002,,,,,,1,1,Genetic_Table.xlsx,Gene,Causing gene,STR,STR,Only NLM Gene https://www.ncbi.nlm.nih.gov/gene/ is used.,ABCA4,,Is the inheritance pattern referring to the gene or to the variant?
snomed ct,106221001 : 255216001,,,,,,1,1,Genetic_Table.xlsx,Mutation 1,Causing mutation 1,STR,STR,"Only NLM ClinVar database https://www.ncbi.nlm.nih.gov/clinvar/ is used.
For protein nomenclature, LAFE uses a three-letter code, while HMC uses a single letter.",c.5882G>A;p.(Gly1961Glu),,
snomed ct,106221001 : 81170007,,,,,,1,1,Genetic_Table.xlsx,Mutation 2,Causing mutation 2,STR,STR,"Only NLM ClinVar database https://www.ncbi.nlm.nih.gov/clinvar/ is used.\\""NA"" will be used if no second causing was found.","c.2276G>T
 p.(Cys759Phe)",,
snomed ct,422549004,,,,,,1,1,Dynamic_Clinical_Table.xlsx,Patient ID,Patient identified number,STR,STR,,,,
snomed ct,397669002 : 305674005,,,,,,1,1,Dynamic_Clinical_Table.xlsx,Age,Age of examination,INT,INT,,16,,
snomed ct,419775003 : 24028007,,,,,,1,1,Dynamic_Clinical_Table.xlsx,REVA,Best Corrected Visual acuity right eye,INT,float?,,"0,05",,
snomed ct,419775003 : 7771000,,,,,,1,1,Dynamic_Clinical_Table.xlsx,LEVA,Best Corrected Visual acuity left eye,INT,float?,,"0,05",,
snomed ct,21324001 : 24028007,,,,,,1,1,Dynamic_Clinical_Table.xlsx,REref,Right eye refraction,STR,STR,Defined as integer with obligatory +/- sign,"{-3}, {+3.5}, {NA}",,
snomed ct,21324001 : 7771000,,,,,,1,1,Dynamic_Clinical_Table.xlsx,LEref,Left eye refraction,STR,STR,Defined as integer with obligatory +/- sign,,,
snomed ct,252783009 : 24028007,,,,,,1,1,Dynamic_Clinical_Table.xlsx,RodRE,Rod b-wave amplidute right eye,INT,INT,"""0"" values are possible that means the test was done and no response was measured, therefore the value is zero.\\If the test was not performed, there will be “NA” (not available).",,,
snomed ct,252783009 : 7771000,,,,,,1,1,Dynamic_Clinical_Table.xlsx,RodLE,Rod b-wave amplidute left eye,INT,INT,"""0"" values are possible that means the test was done and no response was measured, therefore the value is zero.\\If the test was not performed, there will be “NA” (not available).",,,
snomed ct,252780007 : 420512001 : 24028007,,,,,,1,1,Dynamic_Clinical_Table.xlsx,MixREA,Mixed cone-rod a-waxe right eye,INT,INT,"""0"" values are possible that means the test was done and no response was measured, therefore the value is zero.\\If the test was not performed, there will be “NA” (not available).",,,
snomed ct,252780007 : 420512001 : 7771000,,,,,,1,1,Dynamic_Clinical_Table.xlsx,MixLEA,Mixed cone-rod a-waxe left eye,INT,INT,"""0"" values are possible that means the test was done and no response was measured, therefore the value is zero.\\If the test was not performed, there will be “NA” (not available).",,,
snomed ct,252780007 : 257983009 : 24028007,,,,,,1,1,Dynamic_Clinical_Table.xlsx,MixREB,Mixed cone-rod b-waxe right eye,INT,INT,"""0"" values are possible that means the test was done and no response was measured, therefore the value is zero.\\If the test was not performed, there will be “NA” (not available).",,,
snomed ct,252780007 : 257983009 : 7771000,,,,,,1,1,Dynamic_Clinical_Table.xlsx,MixLEB,Mixed cone-rod b-waxe left eye,INT,INT,"""0"" values are possible that means the test was done and no response was measured, therefore the value is zero.\\If the test was not performed, there will be “NA” (not available).",,,
snomed ct,252782004 : 419862005 : 24028007,,,,,,1,1,Dynamic_Clinical_Table.xlsx,ConeREamp,Cone 30Hx amplitude right eye,INT,INT,"""0"" values are possible that means the test was done and no response was measured, therefore the value is zero.\\If the test was not performed, there will be “NA” (not available).",,,
snomed ct,252782004 : 419862005 : 7771000,,,,,,1,1,Dynamic_Clinical_Table.xlsx,ConeLEamp,Cone 30Hx amplitude left eye,INT,INT,"""0"" values are possible that means the test was done and no response was measured, therefore the value is zero.\\If the test was not performed, there will be “NA” (not available).",,,
snomed ct,252782004 : 410669006 : 24028007,,,,,,1,1,Dynamic_Clinical_Table.xlsx,ConeREimp,Cone implicit time right eye,INT,INT,"""0"" values are possible that means the test was done and no response was measured, therefore the value is zero.\\If the test was not performed, there will be “NA” (not available).",,,
snomed ct,252782004 : 410669006 : 7771000,,,,,,1,1,Dynamic_Clinical_Table.xlsx,ConeLEimp,Cone implicit time left eye,INT,INT,"""0"" values are possible that means the test was done and no response was measured, therefore the value is zero.\\If the test was not performed, there will be “NA” (not available).",,,
snomed ct,33048000 : 24028007,,,,,,1,1,Dynamic_Clinical_Table.xlsx,PVFRE,Periferal visual field impairment right eye,STR,bool?,"{yes}\\{no}
We are considering whether it is possible to work directly with the image, even though it is a PDF.
If the information will be available, the residual degrees for visual field will be provided (like 12º or 10º), example: eyes had a constricted visual field < 10. 
The format of numerical information provision is not yed defined: it could be either INT (12) or STR (12º).
This concerns all visual fields impairment variables.",YES or 10º,"[{""value"": ""no"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""yes"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",
snomed ct,33048000 : 7771000,,,,,,1,1,Dynamic_Clinical_Table.xlsx,PVFLE,Periferal visual field impairment left eye,STR,bool,{yes}\\{no},,"[{""value"": ""no"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""yes"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",
snomed ct,698606000 : 24028007,"The snomed code 698606000 is for ""Localized visual field defect"", not central",,,,,1,1,Dynamic_Clinical_Table.xlsx,CVFRE,Central visual field impairment right eye,STR,bool,{yes}\\{no},,"[{""value"": ""no"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""yes"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",
snomed ct,698606000 : 7771000,"The snomed code 698606000 is for ""Localized visual field defect"", not central",,,,,1,1,Dynamic_Clinical_Table.xlsx,CVFLE,Central visual field impairment left eye,STR,bool,{yes}\\{no},,"[{""value"": ""no"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""yes"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",
,,,,,,,1,1,Dynamic_Clinical_Table.xlsx,NO_NAME_YET,"Residual central field- right eye, size III target",INT,float?,"Degrees from fixation. This information can be obtained from the pdf with results of visual field examination, but decision on its inclusion will be bade later.",,,
,,,,,,,1,1,Dynamic_Clinical_Table.xlsx,NO_NAME_YET,"Residual central field- left eye, size III target",INT,float?,"Degrees from fixation. This information can be obtained from the pdf with results of visual field examination, but decision on its inclusion will be bade later.",,,
,,,,,,,1,1,Dynamic_Clinical_Table.xlsx,NO_NAME_YET,"Residual central field- right eye, size V target",INT,float?,"Degrees from fixation. This information can be obtained from the pdf with results of visual field examination, but decision on its inclusion will be bade later.",,,
,,,,,,,1,1,Dynamic_Clinical_Table.xlsx,NO_NAME_YET,"Residual central field- left eye, size V target",INT,float?,"Degrees from fixation. This information can be obtained from the pdf with results of visual field examination, but decision on its inclusion will be bade later.",,,
snomed ct,422549004,,,,,,1,1,Imaging data - To be defined,Patient ID,Patient identified number,STR,STR,,,,
snomed ct,20067007 : 250429001,,,,,,1,1,Imaging data - To be defined,Fundus,Fundus description,Image file,Image file,"It is of great importance to develop the ability to perform automated image analysis of the wide field fundus photos, both colour and Fundus autofluorescence, and not to use free text descriptions that is not machine-readable.",,,
snomed ct,20067007 : 24028007,"There is also CDISC code C166089, and CDISC has EXLAT laterality concept (LEFT C25229 and RIGHT C25228), but the post-coordination is not clear",,,,,1,1,Imaging data - To be defined,WFRE,Wide-field color right eye,Image file,Image file,,,,
snomed ct,20067007 : 7771000,,,,,,1,1,Imaging data - To be defined,WFLE,Wide-field color left eye,Image file,Image file,,,,
snomed ct,252822006 : 24028007,,,,,,1,1,Imaging data - To be defined,WFFAFRE,Wide-field fundus autofluorescence right eye,Image file,Image file,,,,
snomed ct,252822006 : 7771000,,,,,,1,1,Imaging data - To be defined,WFFAFLE,Wide-field fundus autofluorescence left eye,Image file,Image file,,,,
snomed ct,37231002 : 24028007,,,,,,1,1,Imaging data - To be defined,CMERE,Cystoid Macular edema presence right eye,STR,bool?,{yes}\\{no}. The centers consider to provide image files from which this parameter will be extracted but the final decision will be made later.,,"[{""value"": ""no"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""yes"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",
snomed ct,37231002 : 7771000,,,,,,1,1,Imaging data - To be defined,CMELE,Cystoid Macular edema presence left eye,STR,bool?,{yes}\\{no}. The centers consider to provide image files from which this parameter will be extracted but the final decision will be made later.,,"[{""value"": ""no"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""yes"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",
snomed ct,416369006 : 24028007,,,,,,1,1,Imaging data - To be defined,OCTRE,Central optical coherence tomography scan right eye,Image file,Image file,,,,
snomed ct,416369006 : 7771000,,,,,,1,1,Imaging data - To be defined,OCTLE,Central optical coherence tomography scan left eye,Image file,Image file,,,,
snomed ct,310418000,,,,,,0,1,Imaging data - To be defined,BC,Blindness Certificate,STR,bool,{yes}\\{no},,"[{""value"": ""no"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""yes"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",
