entity;pathway
HERC2;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
PIAS4;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
UBE2I;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
RNF168;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
TP53BP1;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
ABRAXAS1;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
UIMC1;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
BARD1;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
BRCA1;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
BRCC3;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
BABAM2;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
BABAM1;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
CHEK2;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
CHEK2;G2/M DNA damage checkpoint
UBE2I;Processing of DNA double-strand break ends
NSD2;Processing of DNA double-strand break ends
ABRAXAS1;Processing of DNA double-strand break ends
UIMC1;Processing of DNA double-strand break ends
PIAS4;Processing of DNA double-strand break ends
RNF168;Processing of DNA double-strand break ends
TP53BP1;Processing of DNA double-strand break ends
BRCC3;Processing of DNA double-strand break ends
BABAM2;Processing of DNA double-strand break ends
HERC2;Processing of DNA double-strand break ends
BABAM1;Processing of DNA double-strand break ends
PALB2;Resolution of D-loop Structures through Holliday Junction Intermediates
KAT5;Resolution of D-loop Structures through Holliday Junction Intermediates
RAD51AP1;Resolution of D-loop Structures through Holliday Junction Intermediates
ATM;Resolution of D-loop Structures through Holliday Junction Intermediates
MUS81;Resolution of D-loop Structures through Holliday Junction Intermediates
RAD51C;Homologous DNA Pairing and Strand Exchange
XRCC3;Homologous DNA Pairing and Strand Exchange
PALB2;Homologous DNA Pairing and Strand Exchange
RAD51AP1;Homologous DNA Pairing and Strand Exchange
RAD51C;Presynaptic phase of homologous DNA pairing and strand exchange
RAD51D;Presynaptic phase of homologous DNA pairing and strand exchange
RAD51B;Presynaptic phase of homologous DNA pairing and strand exchange
XRCC2;Presynaptic phase of homologous DNA pairing and strand exchange
PALB2;Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)
KAT5;Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)
BRIP1;Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)
RAD51AP1;Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)
ATM;Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)
BRIP1;Resolution of D-loop Structures through Holliday Junction Intermediates
SPIDR;Resolution of D-loop Structures through Holliday Junction Intermediates
BRIP1;Processing of DNA double-strand break ends
TOPBP1;HDR through Single Strand Annealing (SSA)
RAD51;HDR through Single Strand Annealing (SSA)
KAT5;HDR through Single Strand Annealing (SSA)
BRIP1;HDR through Single Strand Annealing (SSA)
RHNO1;HDR through Single Strand Annealing (SSA)
ATM;HDR through Single Strand Annealing (SSA)
ABL1;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
RAD52;HDR through Single Strand Annealing (SSA)
SEM1;Presynaptic phase of homologous DNA pairing and strand exchange
BRCA2;Presynaptic phase of homologous DNA pairing and strand exchange
COP1;Autodegradation of the E3 ubiquitin ligase COP1
POT1;DNA Damage/Telomere Stress Induced Senescence
POT1;Packaging Of Telomere Ends
DNA2;Removal of the Flap Intermediate from the C-strand
RFC3;Polymerase switching on the C-strand of the telomere
RFC4;Polymerase switching on the C-strand of the telomere
RFC5;Polymerase switching on the C-strand of the telomere
RFC2;Polymerase switching on the C-strand of the telomere
CHTF18;Polymerase switching on the C-strand of the telomere
DSCC1;Polymerase switching on the C-strand of the telomere
CHTF8;Polymerase switching on the C-strand of the telomere
RTEL1;Telomere Extension By Telomerase
NOP10;Telomere Extension By Telomerase
DKC1;Telomere Extension By Telomerase
TERT;Telomere Extension By Telomerase
GAR1;Telomere Extension By Telomerase
WRAP53;Telomere Extension By Telomerase
NHP2;Telomere Extension By Telomerase
CTC1;Telomere C-strand synthesis initiation
STN1;Telomere C-strand synthesis initiation
TEN1;Telomere C-strand synthesis initiation
CHEK1;Activation of ATR in response to replication stress
CHEK1;G2/M DNA damage checkpoint
CLSPN;Activation of ATR in response to replication stress
GTSE1;The role of GTSE1 in G2/M progression after G2 checkpoint
PLK1;The role of GTSE1 in G2/M progression after G2 checkpoint
WEE1;Polo-like kinase mediated events
AJUBA;Regulation of PLK1 Activity at G2/M Transition
CDC25B;Cyclin A/B1/B2 associated events during G2/M transition
WEE1;Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex
CDK1;Cdc20:Phospho-APC/C mediated degradation of Cyclin A
CDC20;Cdc20:Phospho-APC/C mediated degradation of Cyclin A
NEK2;APC-Cdc20 mediated degradation of Nek2A
FZR1;Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase
CDC20;Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase
PTTG1;APC/C:Cdc20 mediated degradation of Securin
PTTG1;Separation of Sister Chromatids
CDK1;APC/C:Cdc20 mediated degradation of Cyclin B
FZR1;Regulation of APC/C activators between G1/S and early anaphase
CDK2;Cyclin A:Cdk2-associated events at S phase entry
CKS1B;SCF(Skp2)-mediated degradation of p27/p21
SKP2;SCF(Skp2)-mediated degradation of p27/p21
CDKN1B;SCF(Skp2)-mediated degradation of p27/p21
CDK2;Cyclin E associated events during G1/S transition 
CCNE1;G1/S-Specific Transcription
RB1;G1/S-Specific Transcription
RB1;Cyclin D associated events in G1
CCND1;Transcriptional Regulation by VENTX
CTNNB1;Transcriptional Regulation by VENTX
VENTX;Transcriptional Regulation by VENTX
CCND1;Estrogen-dependent nuclear events downstream of ESR-membrane signaling
CREB1;Estrogen-dependent nuclear events downstream of ESR-membrane signaling
CREB1;NGF-stimulated transcription
CREB1;CaMK IV-mediated phosphorylation of CREB
CREB1;PKA-mediated phosphorylation of CREB
CREB1;AKT phosphorylates targets in the nucleus
PIK3CA;PI-3K cascade:FGFR2
PIK3R1;PI-3K cascade:FGFR2
PIK3R1;PI-3K cascade:FGFR4
PIK3R1;PI-3K cascade:FGFR3
PIK3R1;PI-3K cascade:FGFR1
GAB1;GAB1 signalosome
FRS2;FRS-mediated FGFR2 signaling
EGFR;Signaling by EGFR,Epidermal Growth Factor Receptor (EGFR) signaling
EGF;Signaling by EGFR,Epidermal Growth Factor Receptor (EGFR) signaling
PIK3CA;PI-3K cascade:FGFR3
PTPN11;FRS-mediated FGFR3 signaling
FRS3;FRS-mediated FGFR3 signaling
FGF2;POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation
POU5F1;POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation
NANOG;POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation
SOX2;POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation
NANOG;Transcriptional regulation of pluripotent stem cells
POU5F1;Transcriptional regulation of pluripotent stem cells
SOX2;Transcriptional regulation of pluripotent stem cells
KLF4;Transcriptional regulation of pluripotent stem cells
PBX1;Transcriptional regulation of pluripotent stem cells
LIN28A;Transcriptional regulation of pluripotent stem cells
SALL4;Transcriptional regulation of pluripotent stem cells
ZSCAN10;Transcriptional regulation of pluripotent stem cells
PRDM14;Transcriptional regulation of pluripotent stem cells
FGF23;FGFR3c ligand binding and activation
FRS2;FRS-mediated FGFR3 signaling
ERBIN;Signaling by ERBB2
PIK3CA;PI-3K cascade:FGFR1
FRS2;FRS-mediated FGFR1 signaling
PTEN;TP53 Regulates Metabolic Genes
MECOM;Regulation of PTEN gene transcription
ATF2;Regulation of PTEN gene transcription
ATF2;Activation of the AP-1 family of transcription factors
FRS3;FRS-mediated FGFR2 signaling
FGFR4;FGFR4 ligand binding and activation
KLB;betaKlotho-mediated ligand binding
FGFR4;betaKlotho-mediated ligand binding
FGF19;betaKlotho-mediated ligand binding
CALM1;Smooth Muscle Contraction
CALM1;Inactivation, recovery and regulation of the phototransduction cascade
CALM1;FCGR3A-mediated IL10 synthesis
CALM1;VEGFR2 mediated cell proliferation
CALM1;CLEC7A (Dectin-1) induces NFAT activation
CALM1;FCERI mediated Ca+2 mobilization
CALM1;Antigen activates B Cell Receptor (BCR) leading to generation of second messengers
CALM1;CaM pathway
PLCG2;GPVI-mediated activation cascade
LCP2;GPVI-mediated activation cascade
SYK;GPVI-mediated activation cascade
LYN;Platelet Adhesion to exposed collagen
FYN;Platelet Adhesion to exposed collagen
GP6;Platelet Adhesion to exposed collagen
PLCG1;
PLCG1;Phospholipase C-mediated cascade: FGFR1
PLCG1;PLC-gamma1 signalling
NTRK1;TRKA activation by NGF
NGF;NGF processing
PLCG1;VEGFR2 mediated cell proliferation
KDR;VEGFA-VEGFR2 Pathway
KDR;VEGF binds to VEGFR leading to receptor dimerization
PLCG1;EGFR interacts with phospholipase C-gamma
PLCG1;Generation of second messenger molecules
ITK;Generation of second messenger molecules
LCP2;Generation of second messenger molecules
LAT;Generation of second messenger molecules
GRAP2;Generation of second messenger molecules
ZAP70;Translocation of ZAP-70 to Immunological synapse
PAG1;Phosphorylation of CD3 and TCR zeta chains
CSK;Phosphorylation of CD3 and TCR zeta chains
SYK;FCGR3A-mediated phagocytosis
SYK;FCGR3A-mediated IL10 synthesis
AGPAT1;ChREBP activates metabolic gene expression
MLX;ChREBP activates metabolic gene expression
MLXIPL;ChREBP activates metabolic gene expression
MLXIPL;PP2A-mediated dephosphorylation of key metabolic factors
GCK;Regulation of gene expression in beta cells
PDX1;Regulation of gene expression in beta cells
TIGAR;TP53 Regulates Metabolic Genes
MMADHC;Cobalamin (Cbl) metabolism
MMACHC;Cobalamin (Cbl) metabolism
TCN2;Transport of RCbl within the body
CBLIF;Uptake of dietary cobalamins into enterocytes
TCN1;Uptake of dietary cobalamins into enterocytes
CD320;Transport of RCbl within the body
PEX3;ABC transporters in lipid homeostasis
PEX19;ABC transporters in lipid homeostasis
PI4KB;Synthesis of PIPs at the Golgi membrane
FRS3;FRS-mediated FGFR4 signaling
FRS2;FRS-mediated FGFR4 signaling
PTPN11;FRS-mediated FGFR4 signaling
PIK3CA;PI-3K cascade:FGFR4
KIT;Signaling by SCF-KIT
TRAT1;Downstream TCR signaling
TBXA2R;Thromboxane signalling through TP receptor
TBXA2R;Prostanoid ligand receptors
GPR31;Free fatty acid receptors
HCAR3;Hydroxycarboxylic acid-binding receptors
CCL13;Chemokine receptors bind chemokines
SLC18A2;Serotonin Neurotransmitter Release Cycle
RAB3A;Serotonin Neurotransmitter Release Cycle
CPLX1;Serotonin Neurotransmitter Release Cycle
SYT1;Serotonin Neurotransmitter Release Cycle
STX1A;Serotonin Neurotransmitter Release Cycle
SNAP25;Serotonin Neurotransmitter Release Cycle
AGT;Peptide ligand-binding receptors
AGTR1;Peptide ligand-binding receptors
AGT;Metabolism of Angiotensinogen to Angiotensins
AGT;PPARA activates gene expression
FABP1;Cytoprotection by HMOX1
FABP1;Regulation of lipid metabolism by PPARalpha,Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)
TBL1XR1;Regulation of lipid metabolism by PPARalpha,Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)
TBL1X;Regulation of lipid metabolism by PPARalpha,Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)
PPARA;Regulation of lipid metabolism by PPARalpha,Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)
RXRA;Regulation of lipid metabolism by PPARalpha,Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)
PPARA;PPARA activates gene expression
PPARA;BMAL1:CLOCK,NPAS2 activates circadian gene expression
BMAL1;Circadian Clock
BMAL1;Heme signaling
EP300;Circadian Clock
PPARGC1A;Circadian Clock
RORA;Circadian Clock
NRIP1;Circadian Clock
PPARGC1A;Transcriptional activation of mitochondrial biogenesis
PPARGC1A;Heme signaling
CREB1;Transcriptional activation of mitochondrial biogenesis
CREB1;CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde
CAMK4;CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde
CAMK4;CaMK IV-mediated phosphorylation of CREB
KPNA2;CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde
KPNA2;CaMK IV-mediated phosphorylation of CREB
CLOCK;Circadian Clock
CLOCK;Heme signaling
NPAS2;PPARA activates gene expression
NPAS2;Circadian Clock
NPAS2;Heme signaling
CXCR1;Chemokine receptors bind chemokines
CCL1;Chemokine receptors bind chemokines
CCR8;Chemokine receptors bind chemokines
P2RY12;ADP signalling through P2Y purinoceptor 12
P2RY12;P2Y receptors
GPR18;Class A/1 (Rhodopsin-like receptors)
GPR37;Peptide ligand-binding receptors
GPR37L1;Peptide ligand-binding receptors
OXGR1;Class A/1 (Rhodopsin-like receptors)
CXCR2;Chemokine receptors bind chemokines
P2RY13;P2Y receptors
RXFP3;Relaxin receptors
GPER1;Peptide ligand-binding receptors
FPR3;Formyl peptide receptors bind formyl peptides and many other ligands
RXFP4;Relaxin receptors
KNG1;Peptide ligand-binding receptors
CCL5;Chemokine receptors bind chemokines
CXCL12;Chemokine receptors bind chemokines
APLNR;Peptide ligand-binding receptors
P2RY14;P2Y receptors
OPRL1;Peptide ligand-binding receptors
PNOC;Peptide ligand-binding receptors
NMUR2;Peptide ligand-binding receptors
NMS;Peptide ligand-binding receptors
SUCNR1;Class A/1 (Rhodopsin-like receptors)
CCR7;Chemokine receptors bind chemokines
NMU;Peptide ligand-binding receptors
CCL16;Chemokine receptors bind chemokines
RAB3A;GABA synthesis, release, reuptake and degradation
DNAJC5;GABA synthesis, release, reuptake and degradation
RIMS1;GABA synthesis, release, reuptake and degradation
HSPA8;GABA synthesis, release, reuptake and degradation
CPLX1;GABA synthesis, release, reuptake and degradation
SYT1;GABA synthesis, release, reuptake and degradation
SLC32A1;GABA synthesis, release, reuptake and degradation
STX1A;GABA synthesis, release, reuptake and degradation
SNAP25;GABA synthesis, release, reuptake and degradation
CCL25;Chemokine receptors bind chemokines
CCR9;Chemokine receptors bind chemokines
PMCH;Peptide ligand-binding receptors
GPR183;Class A/1 (Rhodopsin-like receptors)
CCL20;Chemokine receptors bind chemokines
CCR6;Chemokine receptors bind chemokines
CCR10;Chemokine receptors bind chemokines
CX3CR1;Chemokine receptors bind chemokines
CX3CL1;Chemokine receptors bind chemokines
C3;Purinergic signaling in leishmaniasis infection
C3;Peptide ligand-binding receptors
C3;Regulation of Complement cascade
C3AR1;Purinergic signaling in leishmaniasis infection
C3AR1;Peptide ligand-binding receptors
C3AR1;Regulation of Complement cascade
C3;Activation of C3 and C5
C3;Alternative complement activation
CFB;Alternative complement activation
C2;Initial triggering of complement
HRH4;Histamine receptors
AGTR2;Peptide ligand-binding receptors
C5;Peptide ligand-binding receptors
C5;Regulation of Complement cascade
C5AR1;Peptide ligand-binding receptors
C5AR1;Regulation of Complement cascade
C5;Activation of C3 and C5
FPR1;Formyl peptide receptors bind formyl peptides and many other ligands
CXCL16;Chemokine receptors bind chemokines
CXCR6;Chemokine receptors bind chemokines
P2RY4;P2Y receptors
FPR2;Formyl peptide receptors bind formyl peptides and many other ligands
PLA2G4A;phospho-PLA2 pathway
PLA2G4A;Platelet sensitization by LDL
PLA2G4A;ADP signalling through P2Y purinoceptor 1
MAPK14;Platelet sensitization by LDL
FGR;Platelet sensitization by LDL
LRP8;Platelet sensitization by LDL
MAPK14;ADP signalling through P2Y purinoceptor 1
P2RY1;ADP signalling through P2Y purinoceptor 1
P2RY1;P2Y receptors
CXCR5;Chemokine receptors bind chemokines
CXCL13;Chemokine receptors bind chemokines
CXCR3;Chemokine receptors bind chemokines
CASR;Class C/3 (Metabotropic glutamate/pheromone receptors)
HCAR2;Hydroxycarboxylic acid-binding receptors
HCAR2;Class A/1 (Rhodopsin-like receptors)
HCAR1;Hydroxycarboxylic acid-binding receptors
P2RY2;P2Y receptors
HRH1;Histamine receptors
GNRHR;Hormone ligand-binding receptors
FFAR3;Free fatty acid receptors
NPSR1;Peptide ligand-binding receptors
NPS;Peptide ligand-binding receptors
FFAR2;Free fatty acid receptors
OPN4;Opsins
TRHR;Peptide ligand-binding receptors
FFAR4;Free fatty acid receptors
LPAR4;P2Y receptors
GPR39;Class A/1 (Rhodopsin-like receptors)
LPAR6;P2Y receptors
GCGR;Glucagon-type ligand receptors
GCGR;Glucagon signaling in metabolic regulation
GCG;Glucagon-type ligand receptors
GCG;Glucagon signaling in metabolic regulation
FFAR1;Free fatty acid receptors
P2RY6;P2Y receptors
GAST;Gastrin-CREB signalling pathway via PKC and MAPK
CCKBR;Gastrin-CREB signalling pathway via PKC and MAPK
AVP;Vasopressin-like receptors
GHSR;Peptide ligand-binding receptors
P2RY10;P2Y receptors
MLN;Peptide ligand-binding receptors
MLNR;Peptide ligand-binding receptors
UTS2R;Peptide ligand-binding receptors
WLS;WNT ligand biogenesis and trafficking
AVP;Vasopressin regulates renal water homeostasis via Aquaporins
AVPR2;Vasopressin regulates renal water homeostasis via Aquaporins
AVPR2;Vasopressin-like receptors
PTGIR;Prostacyclin signalling through prostacyclin receptor
PTGIR;Prostanoid ligand receptors
CALCA;Calcitonin-like ligand receptors
CALCR;Calcitonin-like ligand receptors
RXFP2;Relaxin receptors
TSHR;Hormone ligand-binding receptors
VIP;Glucagon-type ligand receptors
LHCGR;Hormone ligand-binding receptors
GHRHR;Glucagon-type ligand receptors
GHRH;Glucagon-type ligand receptors
ADRB1;Adrenoceptors
FSHR;Hormone ligand-binding receptors
GLP2R;Glucagon-type ligand receptors
RXFP1;Relaxin receptors
ADCYAP1R1;Glucagon-type ligand receptors
GPBAR1;Class A/1 (Rhodopsin-like receptors)
GCG;Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)
SCT;Glucagon-type ligand receptors
SCTR;Glucagon-type ligand receptors
IAPP;Calcitonin-like ligand receptors
GIP;Glucagon-type ligand receptors
GIPR;Glucagon-type ligand receptors
HRH2;Histamine receptors
FFAR1;Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion
CHRM3;Acetylcholine regulates insulin secretion
BTK;Antigen activates B Cell Receptor (BCR) leading to generation of second messengers
PLCG2;Antigen activates B Cell Receptor (BCR) leading to generation of second messengers
VAV1;Antigen activates B Cell Receptor (BCR) leading to generation of second messengers
NCK1;Antigen activates B Cell Receptor (BCR) leading to generation of second messengers
SYK;Antigen activates B Cell Receptor (BCR) leading to generation of second messengers
TRPC1;Antigen activates B Cell Receptor (BCR) leading to generation of second messengers
SOS1;Insulin receptor signalling cascade
SOS1;GRB2 events in EGFR signaling
SHC1;SHC1 events in EGFR signaling
SYK;DAP12 signaling
TYROBP;DAP12 interactions
TREM2;DAP12 interactions
SHC1;SHC1 events in ERBB4 signaling
SOS1;Tie2 Signaling
TEK;Tie2 Signaling
ANGPT1;Tie2 Signaling
SHC1;RET signaling
RET;RET signaling
PSPN;RET signaling
GFRA4;RET signaling
ARTN;RET signaling
SOS1;MET activates RAS signaling
RANBP9;MET activates RAS signaling
MET;MET Receptor Activation
HGF;MET Receptor Activation
SHC1;SHC1 events in ERBB2 signaling
FRS3;FRS-mediated FGFR1 signaling
SOS1;NCAM signaling for neurite out-growth
PTK2;NCAM signaling for neurite out-growth
PTPRA;NCAM signaling for neurite out-growth
FYN;NCAM signaling for neurite out-growth
ATP6AP1;Ion channel transport
ATP6AP1;Insulin receptor recycling
ATP6AP1;Transferrin endocytosis and recycling
SHC1;Interleukin-2 signaling
IL2RG;Interleukin-4 and Interleukin-13 signaling
IL2RG;Interleukin-7 signaling
IL2RG;Interleukin-2 signaling
IL2RG;Interleukin-9 signaling
JAK3;Interleukin-4 and Interleukin-13 signaling
JAK3;Interleukin-7 signaling
JAK3;Interleukin-2 signaling
JAK3;Interleukin-9 signaling
IL2;Interleukin-2 signaling
IL2RA;Interleukin-2 signaling
JAK1;Interleukin-2 signaling
IL2RB;Interleukin-2 signaling
SHC1;Interleukin-3, Interleukin-5 and GM-CSF signaling
JAK2;Interleukin-3, Interleukin-5 and GM-CSF signaling
CSF2RB;Interleukin-3, Interleukin-5 and GM-CSF signaling
CSF2;Interleukin-3, Interleukin-5 and GM-CSF signaling
CSF2RA;Interleukin-3, Interleukin-5 and GM-CSF signaling
IL5RA;Interleukin-3, Interleukin-5 and GM-CSF signaling
IL5;Interleukin-3, Interleukin-5 and GM-CSF signaling
IL3RA;Interleukin-3, Interleukin-5 and GM-CSF signaling
IL3;Interleukin-3, Interleukin-5 and GM-CSF signaling
EGFR;EGFR Transactivation by Gastrin
HBEGF;EGFR Transactivation by Gastrin
MMP3;EGFR Transactivation by Gastrin
PRKCA;Acetylcholine regulates insulin secretion
PRKCA;EGFR Transactivation by Gastrin
SHC1;Insulin receptor signalling cascade
SOS1;FLT3 Signaling
FLT3;FLT3 Signaling
MAP2K1;MAPK3 (ERK1) activation
MAPK3;MAPK3 (ERK1) activation
TNIP2;MAP3K8 (TPL2)-dependent MAPK1/3 activation
MAP3K8;MAP3K8 (TPL2)-dependent MAPK1/3 activation
TRAF6;IRAK2 mediated activation of TAK1 complex
TRAF6;MyD88:MAL(TIRAP) cascade initiated on plasma membrane
IRAK4;MyD88:MAL(TIRAP) cascade initiated on plasma membrane
MYD88;MyD88:MAL(TIRAP) cascade initiated on plasma membrane
BTK;MyD88:MAL(TIRAP) cascade initiated on plasma membrane
CD36;Toll Like Receptor TLR6:TLR2 Cascade
CD14;Toll Like Receptor TLR6:TLR2 Cascade
CD14;Toll Like Receptor TLR1:TLR2 Cascade
LBP;Transfer of LPS from LBP carrier to CD14
CD14;Transfer of LPS from LBP carrier to CD14
LBP;Toll Like Receptor 4 (TLR4) Cascade
HMGB1;Regulation of TLR by endogenous ligand
HMGB1;Pyroptosis
TRAF6;MyD88 cascade initiated on plasma membrane
IRAK4;MyD88 cascade initiated on plasma membrane
MYD88;MyD88 cascade initiated on plasma membrane
TLR10;Toll Like Receptor 10 (TLR10) Cascade
TLR5;Toll Like Receptor 5 (TLR5) Cascade
UBE2E1;IRAK2 mediated activation of TAK1 complex
UBE2E1;Alpha-protein kinase 1 signaling pathway,ALPK1 signaling pathway
TRAF6;Alpha-protein kinase 1 signaling pathway,ALPK1 signaling pathway
ALPK1;Alpha-protein kinase 1 signaling pathway,ALPK1 signaling pathway
UBE2E1;TICAM1,TRAF6-dependent induction of TAK1 complex
TRAF6;TICAM1,TRAF6-dependent induction of TAK1 complex
TICAM1;Toll Like Receptor 3 (TLR3) Cascade
TLR3;Toll Like Receptor 3 (TLR3) Cascade
IKBKG;TAK1-dependent IKK and NF-kappa-B activation  
CHUK;TAK1-dependent IKK and NF-kappa-B activation  
IKBKB;TAK1-dependent IKK and NF-kappa-B activation  
NLRC5;Regulation of NF-kappa B signaling
CHUK;Regulation of NF-kappa B signaling
IKBKB;Regulation of NF-kappa B signaling
RIPK2;NOD1/2 Signaling Pathway
NOD2;NOD1/2 Signaling Pathway
NOD1;NOD1/2 Signaling Pathway
UBE2N;TRAF6-mediated induction of TAK1 complex within TLR4 complex
UBE2V1;TRAF6-mediated induction of TAK1 complex within TLR4 complex
TRAF6;TRAF6-mediated induction of TAK1 complex within TLR4 complex
TICAM1;MyD88-independent TLR4 cascade 
NFKB1;MAP3K8 (TPL2)-dependent MAPK1/3 activation
RAPGEF1;Frs2-mediated activation
CRKL;Frs2-mediated activation
FRS2;Frs2-mediated activation
MAPK1;MAPK1 (ERK2) activation
MAP2K2;MAPK1 (ERK2) activation
MAP2K7;FCERI mediated MAPK activation
MAP3K1;FCERI mediated MAPK activation
